Name,URL,Untuk dihubungi,Tel,E-mel,Tel & Faks,Laman web,Faks
"Madrasah Islahiyah, BACHOK",http://yayasanpondok.blogspot.my/p/madrasah-islahiyah-bachok.html,,,,,,
"Pondok Sungai Durian, KUALA KRAI",http://yayasanpondok.blogspot.my/p/pondok-sungai-durian-kuala-krai.html,,,mmpsd@yahoo.com,09-966 4161,http://pondoksgdurian.com,
"Pondok Hidayah Bt 31, MACHANG",http://yayasanpondok.blogspot.my/p/pondok-hidayah-bt-31-machang.html,,,,,,
"Pondok Haji Yaakub Samba, PASIR PUTEH",http://yayasanpondok.blogspot.my/p/pondok-haji-yaakub-samba-pasir-puteh.html,,,,,,
"Pondok Dalam Huma, PASIR PUTEH",http://yayasanpondok.blogspot.my/p/pondok-dalam-huma-pasir-puteh.html,,019-948 1330,,,,
"Pondok Seligi, PASIR PUTEH",http://yayasanpondok.blogspot.my/p/pondok-seligi-pasir-puteh.html,,012-952 8801,,,,
"Pondok Mahligai Melor, KOTA BHARU",http://yayasanpondok.blogspot.my/p/pondok-mahligai-melor-kota-bharu.html,,,,09-783 2830,,
"Madrasah Muhammadiah Beta Hilir, KOTA BHARU",http://yayasanpondok.blogspot.my/p/madrasah-muhammadiah-beta-hilir-kota.html,,09-797 1529,,,,
"Kulliyah Pondok Darulnaim, KOTA BHARU",http://yayasanpondok.blogspot.my/p/kulliyah-pondok-darulnaim-kota-bharu.html,,09-764 1206,kulliyah_pondok@yahoo.com,,www.kulliyah.keepanshare.com,09-765 9099
"Madrasah Diniah Bakriah, KOTA BHARU",http://yayasanpondok.blogspot.my/p/madrasah-diniah-bakriah-kota-bharu.html,,,albakriah@gmail.com,09-765 7786,www.al-bakriah.wordpress.com,
"Pusat Kebajikan Tahfiz Al-Quran Dan Pengajian Islam, RANTAU PANJANG",http://yayasanpondok.blogspot.my/p/pusat-kebajikan-tahfiz-al-quran-dan.html,,014-820 2714,,,,
"Pondok Gual Dalam Lubok Setol, RANTAU PANJANG",http://yayasanpondok.blogspot.my/p/pondok-gual-dalam-lubok-setol-rantau.html,,010-957 8612,,,,
"Madrasah Tahfiz Al-Quran Darul Riyadh, RANTAU PANJANG",http://yayasanpondok.blogspot.my/p/madrasah-tahfiz-al-quran-darul-riyadh.html,,019-982 0013 / 09-795 0175,mtaqdr-rp@yahoo.com,,,
"Pondok Tuan Guru Haji Ismail, PASIR MAS",http://yayasanpondok.blogspot.my/p/pondok-tuan-guru-haji-ismail-pasir-mas.html,,013-915 7390,,,,
"Pondok Nurul Islam Jelor, PASIR MAS",http://yayasanpondok.blogspot.my/p/pondok-nurul-islam-jelor-pasir-mas.html,,019-923 6259,,,,
"Pondok Lati, PASIR MAS",http://yayasanpondok.blogspot.my/p/pondok-lati-pasir-mas.html,,012-960 0752,,,,
"Pondok Haji Ali, PASIR MAS",http://yayasanpondok.blogspot.my/p/pondok-haji-ali-pasir-mas.html,,09-798 1249,,,,
"Pondok Banggol Naim Gelang Mas, PASIR MAS",http://yayasanpondok.blogspot.my/p/pondok-banggol-naim-gelang-mas-pasir-mas.html,,,,,,
"Pondok Lubuk Tapah, PASIR MAS",http://yayasanpondok.blogspot.my/p/pondok-lubuk-tapah-pasir-mas.html,,013-975 4428 / 019-354 1203 / 012-985 4429,,,,
"Pondok Aur Cina, PASIR MAS",http://yayasanpondok.blogspot.my/p/pondok-aur-cina-pasir-mas.html,,019-999 0618,,,,
"Madrasah Nasrullah, PASIR MAS",http://yayasanpondok.blogspot.my/p/madrasah-nasrullah-pasir-mas.html,,014-815 1539,,,,
"Al-Madrasah Darul Saadah, PASIR MAS",http://yayasanpondok.blogspot.my/p/al-madrasah-darul-saadah-pasir-mas.html,,012-909 5765,,,,
"Pondok Haji Zakaria Banggol Setol, PASIR MAS",http://yayasanpondok.blogspot.my/p/pondok-haji-zakaria-banggol-setol-pasir.html,,019-927 8615 / 09-796 0664,,,,
"Yayasan Darul Hanan Pondok Tok Selehor, TUMPAT",http://yayasanpondok.blogspot.my/p/yayasan-darul-hanan-pondok-tok-selehor.html,,019-970 4875,,,,
"Pondok Darul Hanan Lambor, TUMPAT",http://yayasanpondok.blogspot.my/p/pondok-darul-hanan-lambor-tumpat.html,,017-914 5590 / 09-719 7507,,,,
"Madrasah Ar-Rahmaniah, TUMPAT",http://yayasanpondok.blogspot.my/p/madrasah-ar-rahmaniah-tumpat.html,,013-586 7789,,,,
"Pondok Meheliah, TUMPAT",http://yayasanpondok.blogspot.my/p/pondok-meheliah-tumpat.html,,09-721 1127,,,,
"Madrasah Tarbiah Atfal, TUMPAT",http://yayasanpondok.blogspot.my/p/madrasah-tarbiah-atfal-tumpat.html,,,,,,
"Madrasah Yaakobiah, TUMPAT",http://yayasanpondok.blogspot.my/p/madrasah-yaakobiah-tumpat.html,,014-519 8823,,,,
"Madrasah Al-Badriah, TUMPAT",http://yayasanpondok.blogspot.my/p/madrasah-al-badriah-tumpat.html,,012-961 8580 / 013-971 3288,,,,
"Pondok Saadatul Darain, TUMPAT",http://yayasanpondok.blogspot.my/p/pondok-saadatul-darain-tumpat.html,,010-417 4281,,,,
"Madrasah An-Najmiah, TUMPAT",http://yayasanpondok.blogspot.my/p/madrasah-najmiah-tumpat.html,,010-928 3832,,,,
"Pondok Jal Besar, TUMPAT",http://yayasanpondok.blogspot.my/p/pondok-jal-besar-tumpat.html,019-9481580,,,,,
"Pusat Dakwah Jeli, TANAH MERAH",http://yayasanpondok.blogspot.my/p/pusat-dakwah-jeli-tanah-merah.html,,019-932 4794,,,,
"Madrasah Darul Muttaqin, TANAH MERAH",http://yayasanpondok.blogspot.my/p/madrasah-darul-muttaqin-tanah-merah.html,,013-374 0914,,,,
"Madrasah Darul Ilmi, TANAH MERAH",http://yayasanpondok.blogspot.my/p/madrasah-darul-ilmi-tanah-merah.html,,09-966 2639,,,,
